word,x_values,y_values
recognition,48.379917,0.5708267
image,63.10778,-0.8681026
palmprint,37.57864,-0.41189232
images,59.608578,-1.0211746
biometric,51.376938,-2.1110568
detection,62.29638,0.23560022
segmentation,56.339825,-0.5548786
tracking,47.602047,1.935049
learning,58.762695,1.9187708
face,25.487478,1.4184511
classification,56.633602,-0.58767974
cnn,49.696373,-1.2998351
features,34.50282,-0.6959428
3d,39.294334,0.5160756
iris,20.803514,0.2288333
deep,34.728924,0.5436227
video,48.67002,3.1309786
fingerprint,24.21477,-1.2690568
sparse,45.31769,-0.584412
object,20.642477,1.6734093
visual,43.450554,2.0261629
feature,32.067215,-2.0685022
data,46.3203,1.2183009
facial,37.63536,-2.768526
based,29.150509,-2.4341097
adversarial,45.539684,-0.86532265
biometrics,42.979836,-2.1296723
depth,40.105072,1.016291
matching,26.828201,-0.8772016
saliency,32.30755,-0.523037
human,38.228584,0.8334331
models,39.686607,0.69845545
pedestrian,21.86586,-1.9097438
motion,32.24575,-1.0921769
training,37.917767,0.086864136
denoising,28.190285,0.03857141
algorithm,35.159946,-1.4867123
representation,21.011274,0.5463554
networks,40.00605,-1.7023396
model,36.12594,-0.81170005
retrieval,16.826498,-0.38591835
shape,34.25502,-0.1601241
text,28.560326,-1.9448367
texture,25.387667,-0.8392792
available,19.45461,19.543642
clustering,38.891766,-1.596275
surveillance,32.246,-1.3651657
network,30.118994,-0.54324126
neural,37.581726,0.451474
vision,40.27456,-0.28027973
descriptors,28.948456,-1.6467202
camera,37.292076,-3.0685947
imaging,41.289524,0.10525803
abstract,16.01717,12.601263
identification,10.687566,0.30818602
pose,26.162321,-1.1210352
background,37.128647,-1.5619262
cnns,35.695866,-1.8129022
videos,36.916203,1.2276351
estimation,37.53218,2.2811997
fusion,26.519688,2.084001
multimodal,21.280968,-1.0316564
analysis,29.2687,0.8248165
systems,16.90219,-1.8645284
algorithms,30.959557,0.7624315
resolution,30.83494,2.596829
robust,30.353046,0.331247
underwater,22.247116,-1.9752382
methods,28.449976,0.9656016
datasets,26.676981,-0.66689336
performance,14.925279,0.95930725
reconstruction,23.850897,-0.15587977
authentication,18.239784,-0.4959092
database,3.0148232,0.84011316
skin,16.678247,1.4165705
dataset,29.141487,-0.39254597
classifier,20.871117,-0.35798514
semantic,18.013802,0.012078004
stereo,26.063046,0.54133517
registration,21.220507,1.1218476
graph,27.704586,-0.61341745
sensing,31.070957,-1.9621708
contour,28.08422,-0.65450615
detect,29.678034,0.5085625
hashing,20.079147,-0.052577592
emotion,14.656979,0.6475627
activity,6.1895037,0.27788702
svm,23.091696,-0.86351824
cameras,28.781263,-0.668774
databases,0.65263766,-0.49309158
method,12.951261,0.1813654
hyperspectral,12.244093,1.2576736
color,18.690445,-0.67038494
hand,10.950229,-0.15729097
gestures,19.481651,-0.054456785
gesture,12.45421,-1.807066
blur,19.015604,-0.21176165
coding,11.484029,-0.9010462
classifiers,16.4448,-0.41148204
prediction,24.09786,-0.012374252
applications,23.424603,-0.4448705
action,-0.9431822,0.86849797
fingerprints,14.567038,0.08297243
detector,18.536587,-1.5110867
information,20.600895,-1.1616236
ear,3.4742436,-0.15058213
flow,21.241688,-0.99141806
generative,15.188966,-0.44962138
active,18.689608,-0.49923137
detecting,20.224314,1.2942997
matrix,19.594507,-1.071023
similarity,15.994511,-1.121045
quality,9.726617,1.0491922
view,16.913599,1.8161744
objects,17.753565,1.0987324
tracker,18.034506,-0.8413236
proposed,10.46709,1.4816157
convolutional,17.123318,0.64719385
illumination,14.948269,-1.8482132
monitoring,19.781996,0.9518736
patterns,17.263142,-0.19412589
maps,20.362028,1.4020717
domain,16.10407,-0.5987472
scene,11.507015,-0.9359292
descriptor,8.826872,0.41883677
processing,10.446779,0.6904217
ct,15.291751,0.22271052
supervised,17.794302,1.9529468
map,16.767855,-0.22566445
trained,13.753085,-0.17682084
machine,13.878495,-0.38824943
mobile,18.087837,-0.8588272
expression,3.3952923,1.2034843
kernel,13.979351,-2.1754007
odometry,11.2041855,-1.5614185
vehicle,12.545586,0.5382272
edge,10.503601,-0.7360278
cancer,11.733604,0.064444095
surface,12.73084,-0.8937159
classify,13.937664,-0.6263473
extraction,9.834626,1.4280766
kinect,15.439569,0.6240261
target,12.869745,-0.7226089
architecture,9.885477,-1.8243092
point,12.434803,0.4029003
gaze,13.465673,0.9188835
faces,12.518366,1.2940953
verification,5.685376,0.50290376
multispectral,0.81270546,1.0184145
distance,16.79314,-0.92185575
activities,12.746121,1.4850001
vein,4.807631,-0.49364126
compressive,13.029175,1.0564413
metric,8.782118,0.33412132
handwritten,15.534341,-1.2572374
retinal,13.045091,0.84883666
cloud,15.850816,-2.2221172
person,9.80804,-1.0030732
attention,11.337947,1.9593098
palm,10.634202,-0.24235874
accuracy,7.2518444,0.17399313
recognizing,13.861182,-0.43664393
translation,16.604118,0.50867635
enhancement,11.63098,-0.12577587
optimization,14.544792,0.51361316
fuzzy,13.430226,1.0933006
speech,9.979426,1.4395524
optical,15.398174,-2.560671
regularization,11.870225,0.9844395
mri,11.144743,-1.31075
subspace,12.019785,-1.4061527
adaptation,13.81511,0.39149964
multi,8.64616,0.906653
crowd,10.456729,0.83568823
gan,11.606158,0.79825294
adaptive,10.103986,0.13791795
