word,x_values,y_values,count
learning,27.243868,-9.580318,946
data,22.954578,1.6961857,390
network,20.631622,1.7574972,369
model,22.060667,-34.556168,275
algorithm,27.807146,-51.58124,210
networks,22.704266,23.96489,283
performance,26.112707,-29.784386,153
based,17.886868,-23.842054,301
systems,15.307951,36.389095,138
neural,36.451866,-11.338708,326
models,20.895988,-18.913359,275
methods,20.330498,-22.483135,129
deep,35.50708,-7.4788575,711
algorithms,22.697111,-29.709982,133
analysis,17.922483,-14.91921,151
quality,23.58754,-4.7746863,116
accuracy,31.20076,-40.45903,121
training,25.864485,-28.515734,304
human,16.968546,4.7465634,242
cloud,24.198778,24.892582,124
edge,29.348633,17.003294,128
prediction,22.667671,-25.38116,139
features,20.781172,-10.701319,608
detection,20.86103,-6.2128415,1232
classification,22.668663,-25.720978,726
available,15.898617,11.955433,149
image,24.310394,-14.212108,1457
dataset,22.024914,-19.115858,219
vehicle,18.998896,14.954534,122
datasets,23.10078,-17.120077,203
attention,16.665195,27.027134,208
video,17.350483,1.4773854,536
trained,25.978317,-25.52816,164
feature,22.891129,-16.69308,360
images,18.462183,-3.4703631,1132
recognition,19.271273,-2.5687668,1527
clustering,18.245485,-19.86573,187
motion,16.533012,-9.277273,204
graph,19.949696,-14.374972,135
robust,15.830678,-9.623287,122
representation,21.029158,-13.376804,204
text,19.493082,-3.8366265,231
object,18.609793,-9.818741,447
estimation,18.308796,-20.92992,167
visual,16.255905,1.8700294,313
flow,18.639343,-7.4635935,116
face,16.979982,4.3399706,656
tracking,16.194574,-13.636654,642
adversarial,20.671568,-8.505859,378
objects,18.164473,-0.8310059,130
matching,16.124895,-16.924482,195
semantic,18.83742,-7.148468,131
cnn,21.685495,-12.083536,885
classifier,21.32712,-22.912672,149
3d,15.072686,-0.88343114,456
segmentation,18.53023,-12.084045,955
sensing,12.562084,10.845778,131
detect,17.159359,-0.82054347,166
generative,17.154207,-3.7451932,117
abstract,16.092808,2.3078902,140
vision,12.800936,17.025072,202
background,14.652327,6.91641,124
supervised,15.998473,-9.555079,125
sparse,13.858084,-6.419701,310
identification,13.162725,-6.1665964,197
fusion,12.467009,2.3742235,197
database,12.923245,-0.32779455,115
retrieval,13.28502,-2.812966,184
pedestrian,12.332046,-3.1390584,190
underwater,10.047908,13.525434,133
emotion,14.382352,0.21730985,149
imaging,10.620163,6.932707,197
pose,11.265202,5.791066,184
shape,13.093354,-0.7145336,172
authentication,7.605526,2.885015,128
svm,9.411806,-3.2941382,118
cnns,9.476245,-0.78991324,193
videos,9.42568,1.1413189,168
surveillance,6.4433093,5.9354105,205
facial,9.541955,-2.317099,360
camera,9.178047,1.6369487,171
depth,8.095625,1.3129905,209
resolution,8.920693,-2.5140896,160
multimodal,6.520688,-0.40781695,174
gan,6.202545,-1.8323127,149
reconstruction,7.7504616,-4.0934286,123
gesture,6.1177015,-0.1513672,118
ct,7.0964518,1.783188,121
hyperspectral,3.642866,2.178352,121
stereo,0.9147147,-0.30641022,121
biometric,0.48926467,1.4958154,880
denoising,0.48324835,-0.4475563,243
texture,0.79008895,-0.082777075,189
fingerprint,-2.1414917,-0.5241625,345
iris,-1.6134671,-1.876985,386
saliency,-1.7760527,-1.2020493,233
descriptors,-1.9947287,-0.2399618,147
skin,-1.5824267,-0.20714171,128
palmprint,-2.6835744,0.010647364,1096
biometrics,-3.4578366,-0.007014231,214
