word,x_values,y_values
.,17.676195,0.47510114
",",14.701503,0.7021154
),9.094699,-0.30076125
(,3.3642845,4.5936275
â©,7.926505,10.999822
image,30.137556,-23.079517
proposed,21.952728,-33.397114
method,18.225315,-31.594297
data,25.874905,-6.3331723
images,24.649324,-9.210329
model,20.294846,-33.55056
learning,27.183966,-16.831762
using,15.241002,-21.657595
results,17.708302,-25.872398
methods,17.940006,-15.27661
based,20.49488,-21.142958
paper,19.987827,-7.557238
network,24.34049,-29.441872
features,34.76456,-33.540855
performance,15.477685,-21.118248
recognition,16.338823,-5.935008
%,4.595201,11.797094
used,24.10078,-16.727303
detection,17.884544,-8.018216
deep,24.418821,-12.486702
accuracy,15.078739,-16.2259
feature,33.67957,-31.641804
information,35.578873,-9.49937
algorithm,18.620184,-33.079575
different,26.52482,-6.479719
neural,29.426811,-16.837837
classification,20.070236,-21.48321
approach,17.58983,-27.016468
system,14.5246105,-0.27936345
models,18.610762,-17.812859
also,18.96466,-11.806804
two,22.552095,-23.927544
propose,32.96387,-19.641136
training,22.599333,-21.680334
:,7.8884306,-0.08392363
show,22.852844,-23.175482
segmentation,27.04561,-27.629154
new,21.911959,-4.5931306
ieee,8.756563,18.00971
networks,20.37511,-10.509001
problem,29.262106,-13.734654
dataset,6.448867,-4.042883
however,20.709461,7.2066894
analysis,21.93207,-8.928937
object,26.01904,-17.574986
algorithms,17.667229,-15.001429
use,19.960297,-6.2606554
experimental,23.733118,-21.163954
systems,16.881386,23.187296
datasets,9.9735155,-3.2810705
experiments,17.24098,-25.24103
novel,28.273355,-16.276918
applications,24.620125,22.399523
human,19.266472,13.11841
research,17.564354,23.1902
techniques,17.484747,-7.292824
one,16.785677,1.4441692
state-of-the-art,15.649494,-18.28241
existing,22.258595,-12.01019
work,17.271246,-5.3406987
time,16.155632,4.28058
framework,19.525785,-25.9187
face,19.374367,-7.575756
video,30.276806,-7.8673897
compared,12.166315,-21.038565
visual,27.816887,-7.996481
3d,27.691912,-9.046156
convolutional,28.446756,-20.71819
first,24.297125,-22.379545
high,20.78488,-4.292958
study,13.765048,-0.17696913
approaches,17.861874,-12.603918
demonstrate,22.978529,-23.170275
various,21.060467,2.773743
processing,21.824009,3.896998
set,22.64165,-23.472239
task,22.63034,-6.4196687
present,23.14233,-3.0528178
many,21.74798,15.323703
cnn,21.270382,-25.64857
