word,x_values,y_values,count
learning,27.243868,-9.580318,5579
data,22.954578,1.6961857,5685
proposed,27.32415,-34.37386,8101
network,20.631622,1.7574972,3939
model,22.060667,-34.556168,5594
algorithm,27.807146,-51.58124,3179
performance,26.112707,-29.784386,3931
results,29.095749,-32.1354,5176
based,17.886868,-23.842054,5250
paper,20.111149,-0.47094643,2820
system,15.165997,1.9685489,2716
using,16.095682,-26.383324,5928
method,25.145493,-42.665726,6584
different,22.688993,-4.395321,3904
also,16.00382,-6.081199,2981
used,16.380127,-15.672683,4520
approach,20.821484,-29.212803,3080
neural,36.451866,-11.338708,3273
models,20.895988,-18.913359,2486
methods,20.330498,-22.483135,3751
show,25.556519,-40.152786,3075
information,19.308756,6.7172284,3246
deep,35.50708,-7.4788575,3867
new,18.617533,5.225478,2708
propose,28.513441,-15.698063,3080
two,21.497002,-17.67271,2961
use,15.168405,7.700122,2309
existing,22.649055,-5.0336256,1895
analysis,17.922483,-14.91921,1793
high,26.389284,0.9711572,1832
novel,24.48621,-12.26553,2171
accuracy,31.20076,-40.45903,3139
training,25.864485,-28.515734,2681
human,16.968546,4.7465634,1997
features,20.781172,-10.701319,3705
detection,20.86103,-6.2128415,3832
state-of-the-art,27.82609,-27.515102,1932
classification,22.668663,-25.720978,3026
image,24.310394,-14.212108,7314
video,17.350483,1.4773854,1802
feature,22.891129,-16.69308,3882
images,18.462183,-3.4703631,4709
recognition,19.271273,-2.5687668,3597
object,18.609793,-9.818741,2196
visual,16.255905,1.8700294,1826
face,16.979982,4.3399706,1788
segmentation,18.53023,-12.084045,2269
