word,x_values,y_values
learning,46.84173,2.6683807
5g,28.8419,-1.9362482
uav,42.598755,-2.2375765
network,39.3876,-2.4076266
networks,32.34676,-1.1504247
energy,40.751762,-0.068651326
cloud,35.240585,-1.2038093
scheduling,36.496063,1.11277
edge,13.146411,0.09541374
computing,13.823574,2.2936819
reinforcement,10.172184,2.9622247
iot,33.20724,1.8841898
optimization,37.022686,-0.4804967
control,36.72947,-1.6113375
wireless,26.995157,0.77564293
mobile,17.40564,-0.08727263
power,32.903946,-0.17390022
algorithm,36.569416,0.7529095
neural,30.568312,-0.1795329
uavs,36.06524,0.15508765
data,31.974516,2.3372312
deep,6.274387,0.40310252
robot,38.184086,-0.573159
caching,29.43227,-0.022950983
ai,32.401577,0.69992304
systems,30.715889,-1.4424542
cellular,9.817997,-0.93765765
based,25.324604,-0.5305987
allocation,19.91487,0.4381871
cognitive,28.231522,-1.0735646
model,31.535206,1.6739423
traffic,26.68724,-1.2759951
noma,29.170835,2.0943725
prediction,30.641512,-0.38343802
communication,20.350145,1.3552636
reward,29.000261,2.4741359
blockchain,20.063768,2.4600883
smart,34.244762,-1.8235887
game,23.35247,0.9846636
planning,24.278782,0.08978714
algorithms,28.929157,-1.1243398
management,20.142725,-0.49368754
resource,14.417099,0.8250404
available,6.573738,18.3372
fog,14.041494,-1.0566777
swarm,16.690104,-0.37952632
vehicles,19.15798,0.011369939
abstract,10.274394,0.85081124
optimal,18.955194,-0.1974067
generation,20.73414,1.5905433
detection,25.130808,1.6407238
agent,15.8372345,0.7566308
vehicular,12.924815,-1.0841178
human,22.81825,-0.76962566
aerial,15.523623,1.5939903
distributed,20.002348,-1.5063254
radio,17.684507,-1.2973653
communications,11.593359,-0.22575244
handover,22.855852,0.32546622
routing,23.16227,-1.7666905
adaptive,20.494184,-0.30544013
models,25.92156,0.98352313
service,18.195831,-1.224314
spectrum,17.984861,1.2818062
vehicle,11.840487,-2.0180686
performance,20.00464,0.18320084
agents,18.982088,0.31910038
evolutionary,16.527494,0.9618201
search,25.124931,-1.6961677
forecasting,17.728813,-1.1831832
offloading,12.862604,1.3439142
sdn,12.244935,-2.6549852
cooperative,15.333258,1.2056317
multi,13.468573,-4.2203956
intelligent,16.845257,-0.16759029
architecture,13.794469,-0.11451648
games,18.724981,-0.6259223
6g,3.9855506,-2.0365756
machine,13.271625,0.033317316
task,13.666427,-1.2734151
access,12.016594,1.0099745
load,17.608335,-1.3600032
clustering,17.679161,1.731351
training,20.114428,-0.20795883
memory,19.331894,-2.3448844
adversarial,17.38881,0.42800152
metacognitive,12.762513,2.8897119
tasks,18.760433,-1.174407
strategy,17.464132,1.9492853
controller,14.246201,-0.32026216
video,19.217466,-0.58467925
recommendation,18.27566,-0.41860053
interference,15.3123255,0.23683767
intelligence,14.040334,-1.1283618
design,14.618279,-0.48508576
applications,10.593423,-2.1019678
dialogue,14.290103,-0.85441715
privacy,19.500912,0.7114958
cnn,11.836965,-0.24600552
cognition,13.183993,-0.77095336
mmwave,9.307021,0.82946235
services,9.239138,0.5247976
grid,10.15169,0.37569252
behavior,16.881662,-0.7004882
internet,8.681001,-0.79572123
decision,15.94083,0.4520263
networking,11.870277,-0.15100907
security,12.236372,-0.4605676
inference,13.111812,0.8601551
recognition,17.783766,-0.1610998
robots,13.853406,1.6340761
dynamic,12.3694105,-0.97206306
path,12.183923,-1.0591127
fuzzy,11.281204,0.4370031
programming,13.677253,0.70482486
lte,11.743195,0.4164192
channel,14.127086,1.2652373
process,13.645163,-1.9101956
technology,4.0337124,0.12660275
policy,9.622139,1.0157707
trained,13.66636,0.28870487
classifier,14.521906,-1.4601392
segmentation,14.931613,-0.12534243
metacognition,10.759606,1.4176679
autonomous,14.900212,-1.5716684
problem,5.786054,-0.75216275
trajectory,2.948148,-1.7650036
classification,14.240993,-0.042358186
manufacturing,11.840382,0.95473105
selection,10.653129,0.5461449
unmanned,15.601425,-0.41890657
modeling,13.792678,-0.33275527
attacks,14.275356,1.3993188
balancing,9.554524,1.4336418
navigation,9.981984,-2.4894302
vr,12.430126,0.1723196
federated,-0.9345578,0.3778781
image,14.612712,-2.4484708
heuristic,9.0518465,0.78974664
online,9.142513,1.6332444
consumption,7.315286,1.7291055
sensor,-0.15878065,-1.0348183
knowledge,13.114843,0.72137135
bandit,9.737838,1.321404
mobility,7.3248525,-0.67029744
spiking,8.717407,0.012224593
strategies,9.510477,-0.597633
testing,14.180185,-1.0447938
requirements,6.8932095,-2.187285
simulation,9.756434,1.3110679
predict,12.28628,-0.7097378
language,14.464195,2.01531
research,10.849629,0.45712793
content,8.81766,1.2548848
dnn,8.123789,-0.6032837
transfer,5.077638,-0.21995531
graph,8.442651,0.36012805
brain,11.303975,0.50903153
collaborative,7.2966986,0.7509288
coverage,8.803215,1.139951
proposed,9.771964,-1.3962382
attack,8.540289,-1.1324921
architectures,9.653432,1.230918
quality,10.029851,-0.15293016
transmit,5.2218966,-0.81585914
molecular,8.096605,0.55917346
methods,10.862782,-1.7528921
learn,7.2302976,2.4383936
cyber,9.698179,-0.35885572
technologies,2.9378555,-0.22501299
verification,10.119831,-0.33852682
summarization,8.782814,1.2582177
computation,10.211766,0.56218666
