word,count
recognition,936
image,917
palmprint,913
images,669
biometric,626
detection,614
segmentation,536
tracking,491
learning,443
face,405
classification,398
cnn,356
features,351
3d,331
iris,282
deep,277
video,272
fingerprint,260
sparse,243
object,235
visual,233
feature,217
data,199
facial,191
based,181
adversarial,172
biometrics,161
depth,154
matching,153
human,148
saliency,148
models,147
motion,145
pedestrian,145
algorithm,144
denoising,144
training,144
representation,139
model,138
networks,138
retrieval,133
shape,131
text,127
texture,125
available,121
clustering,120
surveillance,119
network,119
vision,118
neural,118
descriptors,117
camera,117
abstract,116
identification,116
imaging,116
pose,112
background,111
videos,109
cnns,109
estimation,107
fusion,107
multimodal,104
analysis,98
algorithms,97
systems,97
resolution,96
robust,94
underwater,94
methods,93
datasets,92
performance,91
reconstruction,88
authentication,88
database,87
skin,86
classifier,85
dataset,85
semantic,84
graph,82
registration,82
stereo,82
sensing,81
detect,77
contour,77
activity,75
cameras,75
svm,75
hashing,75
emotion,75
method,73
databases,73
hyperspectral,72
color,71
gestures,70
blur,70
hand,70
gesture,70
coding,69
classifiers,68
applications,67
